Title,Certification Type,Report Number,Standard Tested,Country,Issue Date,Status
SD-BASE-3,Ordinary Safety,"<div class=""ExternalClass630D53B5E7D3493CA1794F9E168A41D2""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-3/104399994CRT-001.pdf"" title=""104399994CRT-001"">104399994CRT-001</a></div></div>",UL 62368-1:2019 Ed. 3,US,8/20/2020,No Renewal Required
SD-BASE-3,Ordinary Safety,"<div class=""ExternalClass2E46E2F8F9624BA09AC7E0EFB222B385""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-BASE-3/104399994CRT-001.pdf"" title=""104399994CRT-001"">104399994CRT-001</a></div></div>",CSA C22.2#62368-1:2019 Ed.3,Canada,8/20/2020,No Renewal Required
SD-R,Hazard Location Safety,"<div class=""ExternalClassDE47F623818541079A37BC106F6B9D6F""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-R/102720182CRT-001%20-%20Update.pdf"" title=""102720182CRT-001"">102720182CRT-001</a></div></div>","UL 121201:2017 Ed.9
Class I, Division 2, Groups A, B, C, D T4
Ambient Temp: -20 to 60C",US,5/9/2019,No Renewal Required
SD-R,Hazard Location Safety,"<div class=""ExternalClassB1492A3B8B8B4B43A6A2A928EDD54136""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-R/102720182CRT-001%20-%20Update.pdf"" title=""102720182CRT-001"">102720182CRT-001</a></div></div>","CSA C22.2#213:2016 Ed.2
Class I, Division 2, Groups A, B, C, D T4
Ambient Temp: -20 to 60C",Canada,5/6/2019,No Renewal Required
SD-VSN-3,Ordinary Safety,"<div class=""ExternalClassDDCA340D41EF48E6A938E9DC0CE78AE4""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/104655049DAL-002.pdf"" title=""104655049DAL-002"">104655049DAL-002</a></div></div>","UL 61010-1:2012 Ed.3+R:19Jul2019 
Indoor Use Only",US,8/25/2021,No Renewal Required
SD-VSN-3,Ordinary Safety,"<div class=""ExternalClass2B07AB7504244A08B52CA4609CDB95EB""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/104655049DAL-002.pdf"" title=""104655049DAL-002"">104655049DAL-002</a></div></div>",CSA C22.2#61010-1-12:2012Ed.3+U1;U2 ,Canada,8/25/2021,No Renewal Required
SD-VSN-3,Ordinary Safety,"<div class=""ExternalClass8A2464ED7B4D4F148F449E6BE853B743""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/104655049DAL-002.pdf"" title=""104655049DAL-002"">104655049DAL-002</a><br></div><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/104412926CRT-001.pdf"" title=""104412926CRT-001"">104412926CRT-001</a><br><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/R-3286P-1,%20KCF%20Technologies,%20Inc.,%20Wireless%20Vibration%20Sensor,%20Safety%20Report.pdf"" title=""R-3286P-1"">R-3286P-1</a></div></div>","EN/IEC 61010-1:2010/AMD1:2016 
IEC 62368-1
EN 61010-1",EU,,No Renewal Required
SD-VSN-3,Hazard Location Safety,"<div class=""ExternalClass86C7DBE9123544799AB5D3387ECB2316""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/103649695CRT-001.pdf"" title=""103649695CRT-001"">103649695CRT-001</a></div></div>","UL 121201:2017 Ed.9+R:01Apr2021
Class I, Division 2, Group A, B, C, D T5
Class II, Division 2, Group F, G T5
Ambient Temp: -20C <= Ta <= +70C",US,1/17/2018,No Renewal Required
SD-VSN-3,Hazard Location Safety,"<div class=""ExternalClass6647467348D742038395BCCA3B333AB5""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/103649695CRT-001.pdf"" title=""103649695CRT-001"">103649695CRT-001</a></div></div>","CSA C22.2#213:2017 Ed.3+U1;U2;U3
Class I, Division 2, Group A, B, C, D T5
Class II, Division 2, Group F, G T5
Ambient Temp: -20C <= Ta <= +70C",Canada,1/17/2018,No Renewal Required
SD-VSN-3,Intentional Radiators,"<div class=""ExternalClass6D68B7C5B43F41099709C717E5EB5BB7""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/FCC%20Z5ISD3%20-%20KCF%20Sensor%20V3/Test%20Report.pdf"" title=""R-2975P"">R-2975P</a></div></div>",FCC ID: Z5ISD3,US,12/20/2018,No Renewal Required
SD-VSN-3,Intentional Radiators,<div>IC: 24664-SD3</div>,,Canada,,No Renewal Required
SD-VSN-3,Intentional Radiators,"<div class=""ExternalClassE89A76E5E1B34631BDAAF6422FFF4BD8""><div><a href=""/sites/HardwareDepartment/Hardware%20Team%20Shared/Certifications/Certifications%20Summary,%20FINAL%20DOCS%20ONLY%20-%20All%20SD%20Products/SD-VSN-3/ICASA%20Certificate%20TA-2022077.pdf"" title=""ICASA TA-2022/0777"">ICASA TA-2022/0777</a></div></div>",,South Africa,6/14/2022,No Renewal Required
